Title,Author,In A Series,Pages,Year,Genres/Tags
The Count of Monte CristoAlexandre Dumas,Alexandre Dumas,False,1276,1844,"['classics', 'adventurous', 'literary', 'emotional', 'mysterious', 'fiction', 'medium-paced']"
The NightingaleKristin Hannah,Kristin Hannah,False,440,2015,"['sad', 'inspiring', 'emotional', 'historical', 'fiction', 'medium-paced']"
The NamesFlorence Knapp,Florence Knapp,False,328,2025,"['sad', 'literary', 'emotional', 'medium-paced', 'fiction', 'reflective']"
Lost LambsMadeline Cash,Madeline Cash,False,323,2026,"['medium-paced', 'fiction', 'funny', 'literary']"
Iron FlameRebecca Yarros,Rebecca Yarros,True,623,2023,"['adventurous', 'emotional', 'fantasy', 'medium-paced', 'tense', 'fiction', 'romance']"
The Gate of the Feral GodsMatt Dinniman,Matt Dinniman,True,589,2021,"['adventurous', 'science fiction', 'fantasy', 'fast-paced', 'tense', 'funny', 'fiction']"
Reminders of HimColleen Hoover,Colleen Hoover,False,320,2022,"['hopeful', 'sad', 'contemporary', 'emotional', 'medium-paced', 'fiction', 'romance']"
People We Meet on VacationEmily Henry,Emily Henry,False,388,2021,"['lighthearted', 'contemporary', 'emotional', 'medium-paced', 'funny', 'fiction', 'romance']"
Anatomy of an AlibiAshley Elston,Ashley Elston,False,340,2026,"['dark', 'fast-paced', 'tense', 'mysterious', 'thriller', 'fiction']"
Bury Our Bones in the Midnight SoilV.E. Schwab,V.E. Schwab,False,535,2025,"['dark', 'lgbtqia+', 'emotional', 'fantasy', 'mysterious', 'historical', 'fiction', 'medium-paced']"
Martyr!Kaveh Akbar,Kaveh Akbar,False,331,2024,"['dark', 'literary', 'lgbtqia+', 'emotional', 'medium-paced', 'fiction', 'reflective']"
A Court of Thorns and RosesSarah J. Maas,Sarah J. Maas,True,419,2015,"['dark', 'adventurous', 'emotional', 'fantasy', 'medium-paced', 'fiction', 'romance']"
JamesPercival Everett,Percival Everett,False,303,2024,"['adventurous', 'literary', 'emotional', 'fast-paced', 'tense', 'historical', 'fiction']"
CirceMadeline Miller,Madeline Miller,False,393,2018,"['adventurous', 'literary', 'emotional', 'fantasy', 'medium-paced', 'historical', 'fiction', 'reflective']"
Funny StoryEmily Henry,Emily Henry,False,387,2024,"['lighthearted', 'contemporary', 'emotional', 'medium-paced', 'funny', 'fiction', 'romance']"
Throne of GlassSarah J. Maas,Sarah J. Maas,True,406,2012,"['adventurous', 'fantasy', 'tense', 'mysterious', 'fiction', 'medium-paced']"
One Dark WindowRachel Gillig,Rachel Gillig,True,421,2022,"['dark', 'adventurous', 'fantasy', 'medium-paced', 'mysterious', 'fiction', 'romance']"
"One Day, Everyone Will Have Always Been Against ThisOmar El Akkad",Omar El Akkad,False,187,2025,"['memoir', 'nonfiction', 'challenging', 'informative', 'medium-paced', 'politics', 'reflective']"
The Last LetterRebecca Yarros,Rebecca Yarros,False,426,2019,"['romance', 'contemporary', 'emotional', 'fiction', 'medium-paced']"
YellowfaceR.F. Kuang,R.F. Kuang,False,323,2023,"['dark', 'literary', 'fast-paced', 'tense', 'thriller', 'fiction']"
The Red WinterCameron Sullivan,Cameron Sullivan,False,535,2026,"['dark', 'adventurous', 'lgbtqia+', 'fantasy', 'mysterious', 'historical', 'fiction', 'medium-paced']"
"I, MedusaAyana Gray",Ayana Gray,False,320,2025,"['sad', 'dark', 'emotional', 'fantasy', 'historical', 'fiction', 'medium-paced']"
The Lion Women of TehranMarjan Kamali,Marjan Kamali,False,327,2024,"['hopeful', 'inspiring', 'literary', 'emotional', 'historical', 'fiction', 'medium-paced']"
Dark MatterBlake Crouch,Blake Crouch,False,342,2016,"['adventurous', 'science fiction', 'fast-paced', 'tense', 'mysterious', 'thriller', 'fiction']"
BrimstoneCallie Hart,Callie Hart,True,660,2025,"['dark', 'adventurous', 'emotional', 'fantasy', 'medium-paced', 'fiction', 'romance']"
The Butcher's MasqueradeMatt Dinniman,Matt Dinniman,True,707,2022,"['dark', 'adventurous', 'science fiction', 'fantasy', 'fast-paced', 'funny', 'fiction']"
The Secret HistoryDonna Tartt,Donna Tartt,False,559,1992,"['mystery', 'dark', 'literary', 'tense', 'mysterious', 'slow-paced', 'thriller', 'fiction']"
A Court of Frost and StarlightSarah J. Maas,Sarah J. Maas,True,232,2018,"['hopeful', 'lighthearted', 'emotional', 'fantasy', 'medium-paced', 'fiction', 'romance']"
Catching FireSuzanne Collins,Suzanne Collins,True,391,2009,"['adventurous', 'young adult', 'emotional', 'fast-paced', 'tense', 'dystopian', 'fiction']"
A Court of Silver FlamesSarah J. Maas,Sarah J. Maas,True,751,2021,"['dark', 'adventurous', 'emotional', 'fantasy', 'medium-paced', 'fiction', 'romance']"
Strange HousesUketsu,Uketsu,True,208,2021,"['mystery', 'dark', 'fast-paced', 'tense', 'mysterious', 'fiction', 'horror']"
MockingjaySuzanne Collins,Suzanne Collins,True,390,2010,"['dark', 'adventurous', 'young adult', 'emotional', 'dystopian', 'fiction', 'medium-paced']"
Animal FarmGeorge Orwell,George Orwell,False,152,1945,"['dark', 'classics', 'literary', 'fast-paced', 'dystopian', 'fiction', 'reflective']"
The Love HypothesisAli Hazelwood,Ali Hazelwood,False,373,2021,"['lighthearted', 'contemporary', 'fast-paced', 'funny', 'fiction', 'romance']"
Game ChangerRachel Reid,Rachel Reid,True,400,2018,"['hopeful', 'lgbtqia+', 'contemporary', 'emotional', 'lighthearted', 'medium-paced', 'sports', 'fiction', 'romance']"
The Song of AchillesMadeline Miller,Madeline Miller,False,378,2011,"['sad', 'adventurous', 'literary', 'lgbtqia+', 'emotional', 'fantasy', 'medium-paced', 'historical', 'fiction', 'romance']"
1984George Orwell,George Orwell,False,304,1949,"['dark', 'classics', 'literary', 'science fiction', 'medium-paced', 'tense', 'dystopian', 'fiction', 'reflective']"
The Poppy WarR.F. Kuang,R.F. Kuang,True,544,2018,"['dark', 'adventurous', 'fantasy', 'tense', 'historical', 'fiction', 'medium-paced']"
The Mad WifeMeagan Church,Meagan Church,False,352,2025,"['sad', 'dark', 'literary', 'emotional', 'historical', 'fiction', 'medium-paced']"
The Buffalo Hunter HunterStephen Graham Jones,Stephen Graham Jones,False,435,2025,"['dark', 'fantasy', 'tense', 'mysterious', 'historical', 'fiction', 'horror', 'medium-paced']"
Best Offer WinsMarisa Kashino,Marisa Kashino,False,273,2025,"['dark', 'fast-paced', 'tense', 'thriller', 'fiction']"
PachinkoMin Jin Lee,Min Jin Lee,False,490,2017,"['sad', 'literary', 'emotional', 'medium-paced', 'historical', 'fiction', 'reflective']"
"Tomorrow, and Tomorrow, and TomorrowGabrielle Zevin",Gabrielle Zevin,False,401,2022,"['sad', 'literary', 'contemporary', 'emotional', 'medium-paced', 'fiction', 'reflective']"
Great Big Beautiful LifeEmily Henry,Emily Henry,False,418,2025,"['lighthearted', 'contemporary', 'emotional', 'medium-paced', 'fiction', 'romance']"
The Raven ScholarAntonia Hodgson,Antonia Hodgson,True,648,2025,"['adventurous', 'fantasy', 'tense', 'mysterious', 'fiction', 'medium-paced']"
Tender Is the FleshAgustina Bazterrica,Agustina Bazterrica,False,211,2017,"['dark', 'literary', 'tense', 'dystopian', 'fiction', 'horror', 'medium-paced']"
The MartianAndy Weir,Andy Weir,True,369,2011,"['adventurous', 'science fiction', 'tense', 'funny', 'thriller', 'fiction', 'medium-paced']"
The Eye of the Bedlam BrideMatt Dinniman,Matt Dinniman,True,829,2023,"['dark', 'adventurous', 'science fiction', 'fantasy', 'fast-paced', 'funny', 'fiction']"
To Kill a MockingbirdHarper Lee,Harper Lee,True,336,1960,"['classics', 'young adult', 'literary', 'emotional', 'medium-paced', 'historical', 'fiction', 'reflective']"
The House in the Cerulean SeaTJ Klune,TJ Klune,True,398,2020,"['hopeful', 'lgbtqia+', 'emotional', 'fantasy', 'funny', 'fiction', 'medium-paced']"
A Psalm for the Wild-BuiltBecky Chambers,Becky Chambers,True,147,2021,"['hopeful', 'inspiring', 'lgbtqia+', 'science fiction', 'medium-paced', 'fiction', 'reflective']"
Beach ReadEmily Henry,Emily Henry,False,358,2020,"['lighthearted', 'contemporary', 'emotional', 'medium-paced', 'funny', 'fiction', 'romance']"
No Matter WhatCara Bastone,Cara Bastone,False,337,2026,"['hopeful', 'reflective', 'contemporary', 'emotional', 'medium-paced', 'fiction', 'romance']"
Shield of SparrowsDevney Perry,Devney Perry,True,511,2025,"['adventurous', 'fantasy', 'medium-paced', 'tense', 'mysterious', 'fiction', 'romance']"
The Knight and the MothRachel Gillig,Rachel Gillig,True,389,2025,"['dark', 'adventurous', 'fantasy', 'medium-paced', 'mysterious', 'fiction', 'romance']"
Strange PicturesUketsu,Uketsu,False,236,2022,"['mystery', 'dark', 'fast-paced', 'tense', 'mysterious', 'fiction', 'horror']"
MateAli Hazelwood,Ali Hazelwood,False,448,2025,"['adventurous', 'emotional', 'fantasy', 'medium-paced', 'funny', 'fiction', 'romance']"
Dire BoundSable Sorensen,Sable Sorensen,True,608,2025,"['dark', 'adventurous', 'fantasy', 'medium-paced', 'tense', 'fiction', 'romance']"
Normal PeopleSally Rooney,Sally Rooney,False,273,2018,"['reflective', 'sad', 'literary', 'contemporary', 'emotional', 'medium-paced', 'fiction', 'romance']"
Small Things Like TheseClaire Keegan,Claire Keegan,False,118,2021,"['sad', 'literary', 'emotional', 'medium-paced', 'historical', 'fiction', 'reflective']"
The Poet EmpressShen Tao,Shen Tao,False,432,2026,"['dark', 'emotional', 'fantasy', 'tense', 'fiction', 'medium-paced']"
Six of CrowsLeigh Bardugo,Leigh Bardugo,True,465,2015,"['dark', 'adventurous', 'young adult', 'lgbtqia+', 'fantasy', 'tense', 'fiction', 'medium-paced']"
Between Two FiresChristopher Buehlman,Christopher Buehlman,False,426,2012,"['dark', 'adventurous', 'fantasy', 'tense', 'historical', 'fiction', 'horror', 'medium-paced']"
Onyx StormRebecca Yarros,Rebecca Yarros,True,527,2025,"['adventurous', 'emotional', 'fantasy', 'medium-paced', 'tense', 'fiction', 'romance']"
This Inevitable RuinMatt Dinniman,Matt Dinniman,True,870,2024,"['dark', 'adventurous', 'science fiction', 'fantasy', 'fast-paced', 'funny', 'fiction']"
The Housemaid's SecretFreida McFadden,Freida McFadden,True,316,2023,"['dark', 'fast-paced', 'tense', 'mysterious', 'thriller', 'fiction']"
Margo's Got Money TroublesRufi Thorpe,Rufi Thorpe,False,298,2024,"['hopeful', 'contemporary', 'emotional', 'funny', 'fiction', 'medium-paced']"
Daisy Jones & The SixTaylor Jenkins Reid,Taylor Jenkins Reid,False,355,2019,"['literary', 'emotional', 'medium-paced', 'historical', 'fiction', 'reflective']"
We Used to Live HereMarcus Kliewer,Marcus Kliewer,False,312,2024,"['dark', 'lgbtqia+', 'fast-paced', 'tense', 'mysterious', 'thriller', 'fiction', 'horror']"
The Assassin's BladeSarah J. Maas,Sarah J. Maas,True,435,2014,"['dark', 'adventurous', 'emotional', 'fantasy', 'fiction', 'medium-paced']"
Before the Coffee Gets ColdToshikazu Kawaguchi,Toshikazu Kawaguchi,True,213,2015,"['hopeful', 'literary', 'emotional', 'medium-paced', 'magical realism', 'fiction', 'reflective']"
Operation Bounce HouseMatt Dinniman,Matt Dinniman,False,437,2026,"['adventurous', 'science fiction', 'fantasy', 'fast-paced', 'tense', 'funny', 'fiction']"
YesteryearCaro Claire Burke,Caro Claire Burke,False,400,2026,"['dark', 'literary', 'tense', 'mysterious', 'thriller', 'fiction', 'medium-paced']"
The Frozen RiverAriel Lawhon,Ariel Lawhon,False,432,2023,"['mystery', 'emotional', 'mysterious', 'historical', 'fiction', 'medium-paced']"
Happy PlaceEmily Henry,Emily Henry,False,388,2023,"['hopeful', 'contemporary', 'emotional', 'medium-paced', 'funny', 'fiction', 'romance']"
The Will of the ManyJames Islington,James Islington,True,630,2023,"['adventurous', 'fantasy', 'tense', 'mysterious', 'fiction', 'medium-paced']"
Tough GuyRachel Reid,Rachel Reid,True,300,2020,"['hopeful', 'lgbtqia+', 'contemporary', 'emotional', 'lighthearted', 'medium-paced', 'sports', 'fiction', 'romance']"
Parable of the SowerOctavia E. Butler,Octavia E. Butler,True,345,1993,"['dark', 'classics', 'literary', 'science fiction', 'challenging', 'tense', 'dystopian', 'fiction', 'medium-paced']"
Mile HighLiz Tomforde,Liz Tomforde,True,490,2022,"['lighthearted', 'contemporary', 'emotional', 'medium-paced', 'funny', 'sports', 'fiction', 'romance']"
Role ModelRachel Reid,Rachel Reid,True,328,2021,"['hopeful', 'lgbtqia+', 'contemporary', 'emotional', 'medium-paced', 'funny', 'sports', 'fiction', 'romance']"
QuicksilverCallie Hart,Callie Hart,True,670,2024,"['dark', 'adventurous', 'emotional', 'fantasy', 'medium-paced', 'fiction', 'romance']"
Wild ReverenceRebecca Ross,Rebecca Ross,False,527,2025,"['hopeful', 'adventurous', 'emotional', 'fantasy', 'medium-paced', 'fiction', 'romance']"
BelovedToni Morrison,Toni Morrison,True,325,1987,"['sad', 'dark', 'classics', 'literary', 'emotional', 'slow-paced', 'magical realism', 'historical', 'fiction']"
Giovanni's RoomJames Baldwin,James Baldwin,False,159,1956,"['sad', 'classics', 'literary', 'lgbtqia+', 'emotional', 'medium-paced', 'fiction', 'reflective']"
Crown of MidnightSarah J. Maas,Sarah J. Maas,True,420,2013,"['dark', 'adventurous', 'fantasy', 'mysterious', 'fiction', 'medium-paced']"
We Who Will DieStacia Stark,Stacia Stark,True,432,2025,"['dark', 'adventurous', 'fantasy', 'medium-paced', 'tense', 'fiction', 'romance']"
The Road to Tender HeartsAnnie Hartnett,Annie Hartnett,False,369,2025,"['hopeful', 'literary', 'contemporary', 'emotional', 'funny', 'fiction', 'medium-paced']"
The FavoritesLayne Fargo,Layne Fargo,False,437,2025,"['contemporary', 'emotional', 'medium-paced', 'tense', 'sports', 'fiction', 'romance']"
Demon CopperheadBarbara Kingsolver,Barbara Kingsolver,False,548,2022,"['sad', 'dark', 'literary', 'emotional', 'fiction', 'medium-paced']"
The Cruel PrinceHolly Black,Holly Black,True,370,2018,"['dark', 'adventurous', 'young adult', 'fantasy', 'tense', 'fiction', 'medium-paced']"
How to Kill a Guy in Ten DatesShailee Thompson,Shailee Thompson,False,368,2026,"['dark', 'contemporary', 'fast-paced', 'tense', 'funny', 'fiction', 'horror', 'romance']"
WhidbeyT Kira Madden,T Kira Madden,False,372,2026,"['literary', 'challenging', 'emotional', 'medium-paced', 'fiction', 'reflective']"
I'm Glad My Mom DiedJennette McCurdy,Jennette McCurdy,False,320,2022,"['memoir', 'sad', 'nonfiction', 'emotional', 'fast-paced', 'reflective']"
SunburnChloe Michelle Howarth,Chloe Michelle Howarth,False,285,2023,"['sad', 'literary', 'lgbtqia+', 'emotional', 'medium-paced', 'fiction', 'reflective']"
All the Light We Cannot SeeAnthony Doerr,Anthony Doerr,False,531,2014,"['sad', 'literary', 'emotional', 'medium-paced', 'historical', 'fiction', 'reflective']"
Two Twisted CrownsRachel Gillig,Rachel Gillig,True,434,2023,"['dark', 'adventurous', 'fantasy', 'medium-paced', 'mysterious', 'fiction', 'romance']"
Nobody's GirlVirginia Roberts Giuffre,Virginia Roberts Giuffre,False,394,2025,"['memoir', 'sad', 'dark', 'nonfiction', 'emotional', 'medium-paced']"
Just FriendsHaley Pham,Haley Pham,False,320,2026,"['romance', 'contemporary', 'emotional', 'fiction', 'medium-paced']"
Frankenstein: The 1818 TextMary Shelley,Mary Shelley,False,280,1818,"['dark', 'classics', 'literary', 'science fiction', 'medium-paced', 'mysterious', 'fiction', 'horror', 'reflective']"
House of Sky and BreathSarah J. Maas,Sarah J. Maas,True,805,2022,"['adventurous', 'emotional', 'fantasy', 'medium-paced', 'tense', 'fiction', 'romance']"
The Great AloneKristin Hannah,Kristin Hannah,False,440,2018,"['sad', 'adventurous', 'literary', 'emotional', 'historical', 'fiction', 'medium-paced']"
BunnyMona Awad,Mona Awad,True,305,2019,"['dark', 'literary', 'tense', 'mysterious', 'thriller', 'fiction', 'horror', 'medium-paced']"
There Is No Antimemetics Divisionqntm,qntm,False,209,2020,"['dark', 'science fiction', 'fast-paced', 'tense', 'mysterious', 'fiction', 'horror']"
The Ballad of Songbirds and SnakesSuzanne Collins,Suzanne Collins,True,517,2020,"['dark', 'adventurous', 'young adult', 'tense', 'dystopian', 'fiction', 'medium-paced']"
On Earth We're Briefly GorgeousOcean Vuong,Ocean Vuong,False,246,2019,"['sad', 'literary', 'contemporary', 'emotional', 'lgbtqia+', 'slow-paced', 'fiction', 'reflective']"
VerityColleen Hoover,Colleen Hoover,False,323,2018,"['mystery', 'dark', 'contemporary', 'fast-paced', 'tense', 'mysterious', 'thriller', 'fiction', 'romance']"
The Catcher in the RyeJ.D. Salinger,J.D. Salinger,False,277,1951,"['classics', 'young adult', 'literary', 'emotional', 'medium-paced', 'fiction', 'reflective']"
"So Old, So YoungGrant Ginder",Grant Ginder,False,372,2026,"['sad', 'literary', 'contemporary', 'emotional', 'medium-paced', 'fiction', 'reflective']"
The Bright YearsSarah Damoff,Sarah Damoff,False,271,2025,"['sad', 'literary', 'contemporary', 'emotional', 'medium-paced', 'fiction', 'reflective']"
Yours TrulyAbby Jimenez,Abby Jimenez,True,398,2023,"['hopeful', 'contemporary', 'emotional', 'medium-paced', 'funny', 'fiction', 'romance']"
The StrangerAlbert Camus,Albert Camus,False,123,1942,"['dark', 'classics', 'literary', 'medium-paced', 'fiction', 'reflective']"
Jane EyreCharlotte Brontë,Charlotte Brontë,False,532,1847,"['dark', 'classics', 'literary', 'emotional', 'mysterious', 'slow-paced', 'fiction', 'romance']"
Pride and PrejudiceJane Austen,Jane Austen,False,435,1813,"['classics', 'literary', 'lighthearted', 'emotional', 'slow-paced', 'funny', 'fiction', 'romance']"
Crying in H MartMichelle Zauner,Michelle Zauner,False,239,2021,"['memoir', 'sad', 'nonfiction', 'emotional', 'medium-paced', 'reflective']"
Not Quite Dead YetHolly Jackson,Holly Jackson,False,385,2025,"['mystery', 'dark', 'emotional', 'mysterious', 'thriller', 'fiction', 'medium-paced']"
The Wings That BindBriar Boleyn,Briar Boleyn,True,426,2026,"['dark', 'adventurous', 'emotional', 'fantasy', 'medium-paced', 'fiction', 'romance']"
FosterClaire Keegan,Claire Keegan,False,89,2010,"['sad', 'literary', 'emotional', 'fast-paced', 'fiction', 'reflective']"
Brave New WorldAldous Huxley,Aldous Huxley,False,268,1932,"['dark', 'classics', 'challenging', 'science fiction', 'medium-paced', 'dystopian', 'fiction', 'reflective']"
